Comment,Time,User
"""Hôm qua vẫn có khách WeJoy qua làm đẹp. Sáng nay cũng có khách book lịch... Công nợ gần 200 triệu đồng hôm nay đến hạn thanh toán. Nhưng em chỉ nhận được một email thông báo phá sản"", Phó Minh Trang – chủ spa thương hiệu Uni Beauty – chia sẻ.","""Hôm qua vẫn có khách WeJoy qua làm đẹp. Sáng nay cũng có khách book lịch... Công nợ gần 200 triệu đồng hôm nay đến hạn thanh toán. Nhưng em chỉ nhận được một email thông báo phá sản"", Phó Minh Trang – chủ spa thương hiệu Uni Beauty – chia sẻ.","""Hôm qua vẫn có khách WeJoy qua làm đẹp. Sáng nay cũng có khách book lịch... Công nợ gần 200 triệu đồng hôm nay đến hạn thanh toán. Nhưng em chỉ nhận được một email thông báo phá sản"", Phó Minh Trang – chủ spa thương hiệu Uni Beauty – chia sẻ."
"10/5/2020, cô con gái nhỏ của Trang mới sinh được gần 3 tuần, cũng là thời điểm CEO ","10/5/2020, cô con gái nhỏ của Trang mới sinh được gần 3 tuần, cũng là thời điểm CEO ","10/5/2020, cô con gái nhỏ của Trang mới sinh được gần 3 tuần, cũng là thời điểm CEO "
"Đúng hẹn, WeFit không thanh toán đồng nào, trong khi Uni Beauty vẫn tiếp khách từ ","Đúng hẹn, WeFit không thanh toán đồng nào, trong khi Uni Beauty vẫn tiếp khách từ ","Đúng hẹn, WeFit không thanh toán đồng nào, trong khi Uni Beauty vẫn tiếp khách từ "
"Sáng 11/5, Uni Beauty là một trong số hàng trăm đối tác mảng Beauty, Fitness của WeFit nhận được thông báo startup này phá sản. Mọi vấn đề liên quan đến quyền và lợi ích của mình, đối tác phải liên hệ với Tòa án Nhân dân TP Hà Nội để được giải quyết.  ","Sáng 11/5, Uni Beauty là một trong số hàng trăm đối tác mảng Beauty, Fitness của WeFit nhận được thông báo startup này phá sản. Mọi vấn đề liên quan đến quyền và lợi ích của mình, đối tác phải liên hệ với Tòa án Nhân dân TP Hà Nội để được giải quyết.  ","Sáng 11/5, Uni Beauty là một trong số hàng trăm đối tác mảng Beauty, Fitness của WeFit nhận được thông báo startup này phá sản. Mọi vấn đề liên quan đến quyền và lợi ích của mình, đối tác phải liên hệ với Tòa án Nhân dân TP Hà Nội để được giải quyết.  "
,,
"Năm 2019, bên cạnh lĩnh vực cốt lõi là kết nối phòng tập, WeFit lấn sân sang mảng Beauty, kết nối với các spa, ra mắt thương hiệu WeJoy, đồng thời đổi tên startup thành WeWow.  ","Năm 2019, bên cạnh lĩnh vực cốt lõi là kết nối phòng tập, WeFit lấn sân sang mảng Beauty, kết nối với các spa, ra mắt thương hiệu WeJoy, đồng thời đổi tên startup thành WeWow.  ","Năm 2019, bên cạnh lĩnh vực cốt lõi là kết nối phòng tập, WeFit lấn sân sang mảng Beauty, kết nối với các spa, ra mắt thương hiệu WeJoy, đồng thời đổi tên startup thành WeWow.  "
"Uni Beauty là đối tác (merchant) liên kết với WeJoy vào thời điểm đầu, vào tháng 5/2019. Khi liên kết, quyền lợi của các spa là được WeJoy giới thiệu khách hàng. Phía WeJoy sẽ thanh toán theo lượt khách sử dụng cho spa vào mỗi cuối tháng.  ","Uni Beauty là đối tác (merchant) liên kết với WeJoy vào thời điểm đầu, vào tháng 5/2019. Khi liên kết, quyền lợi của các spa là được WeJoy giới thiệu khách hàng. Phía WeJoy sẽ thanh toán theo lượt khách sử dụng cho spa vào mỗi cuối tháng.  ","Uni Beauty là đối tác (merchant) liên kết với WeJoy vào thời điểm đầu, vào tháng 5/2019. Khi liên kết, quyền lợi của các spa là được WeJoy giới thiệu khách hàng. Phía WeJoy sẽ thanh toán theo lượt khách sử dụng cho spa vào mỗi cuối tháng.  "
"""","""",""""
"Nhưng WeFit chỉ trả công nợ đều đặn trong 4 tháng đầu. Từ tháng 9/2019, tình trạng nợ đọng bắt đầu diễn ra.  ","Nhưng WeFit chỉ trả công nợ đều đặn trong 4 tháng đầu. Từ tháng 9/2019, tình trạng nợ đọng bắt đầu diễn ra.  ","Nhưng WeFit chỉ trả công nợ đều đặn trong 4 tháng đầu. Từ tháng 9/2019, tình trạng nợ đọng bắt đầu diễn ra.  "
"""","""",""""
,,
"Thời điểm WeFit gặp khủng hoảng cả phía đối tác lẫn khách hàng, Uni Beauty vẫn quyết định hợp tác tiếp, mong WeFit sớm vượt qua sóng gió...  ","Thời điểm WeFit gặp khủng hoảng cả phía đối tác lẫn khách hàng, Uni Beauty vẫn quyết định hợp tác tiếp, mong WeFit sớm vượt qua sóng gió...  ","Thời điểm WeFit gặp khủng hoảng cả phía đối tác lẫn khách hàng, Uni Beauty vẫn quyết định hợp tác tiếp, mong WeFit sớm vượt qua sóng gió...  "
"""","""",""""
""", Trang nói.  ",""", Trang nói.  ",""", Trang nói.  "
"Tổng số tiền WeFit nợ Uni Beauty chính xác là 177,8 triệu đồng. Đích thân CEO Nguyễn Hải Đăng gửi mail xác nhận và hứa thanh toán một phần vào ngày 10/5. Tuy nhiên đến 11/5, thông báo phá sản kèm xác nhận công nợ gửi sang Trang lại cho rằng số tiền nợ của WeFit chỉ là 148 triệu đồng.  ","Tổng số tiền WeFit nợ Uni Beauty chính xác là 177,8 triệu đồng. Đích thân CEO Nguyễn Hải Đăng gửi mail xác nhận và hứa thanh toán một phần vào ngày 10/5. Tuy nhiên đến 11/5, thông báo phá sản kèm xác nhận công nợ gửi sang Trang lại cho rằng số tiền nợ của WeFit chỉ là 148 triệu đồng.  ","Tổng số tiền WeFit nợ Uni Beauty chính xác là 177,8 triệu đồng. Đích thân CEO Nguyễn Hải Đăng gửi mail xác nhận và hứa thanh toán một phần vào ngày 10/5. Tuy nhiên đến 11/5, thông báo phá sản kèm xác nhận công nợ gửi sang Trang lại cho rằng số tiền nợ của WeFit chỉ là 148 triệu đồng.  "
"""","""",""""
""", Trang tâm sự.",""", Trang tâm sự.",""", Trang tâm sự."
"Chi phí mặt bằng của Uni Beauty đóng 6 tháng một lần, tổng phải trả đợt này là 60 triệu đồng. Tuy nhiên, do tin tưởng WeFit sẽ thanh toán, Trang không kịp xoay xở.  ","Chi phí mặt bằng của Uni Beauty đóng 6 tháng một lần, tổng phải trả đợt này là 60 triệu đồng. Tuy nhiên, do tin tưởng WeFit sẽ thanh toán, Trang không kịp xoay xở.  ","Chi phí mặt bằng của Uni Beauty đóng 6 tháng một lần, tổng phải trả đợt này là 60 triệu đồng. Tuy nhiên, do tin tưởng WeFit sẽ thanh toán, Trang không kịp xoay xở.  "
,,
"Chia sẻ thêm lý do phải đóng cửa spa, Trang cho biết khi spa vận hành từ tháng 3/2019 và liên kết với WeJoy từ tháng 5/2019. Lượng khách của Spa đến nay chủ yếu từ WeJoy.  ","Chia sẻ thêm lý do phải đóng cửa spa, Trang cho biết khi spa vận hành từ tháng 3/2019 và liên kết với WeJoy từ tháng 5/2019. Lượng khách của Spa đến nay chủ yếu từ WeJoy.  ","Chia sẻ thêm lý do phải đóng cửa spa, Trang cho biết khi spa vận hành từ tháng 3/2019 và liên kết với WeJoy từ tháng 5/2019. Lượng khách của Spa đến nay chủ yếu từ WeJoy.  "
"Tính đến thời điểm hiện tại, dòng tiền của spa đã âm và toàn bộ khoản âm đấy nằm trong công nợ với WeJoy.  ","Tính đến thời điểm hiện tại, dòng tiền của spa đã âm và toàn bộ khoản âm đấy nằm trong công nợ với WeJoy.  ","Tính đến thời điểm hiện tại, dòng tiền của spa đã âm và toàn bộ khoản âm đấy nằm trong công nợ với WeJoy.  "
"Nói về cách giải quyết của WeFit/WeJoy, Trang cho rằng cách giải quyết của họ ""rất không hợp lý"".  ","Nói về cách giải quyết của WeFit/WeJoy, Trang cho rằng cách giải quyết của họ ""rất không hợp lý"".  ","Nói về cách giải quyết của WeFit/WeJoy, Trang cho rằng cách giải quyết của họ ""rất không hợp lý"".  "
"""","""",""""
""", Trang chia sẻ.  ",""", Trang chia sẻ.  ",""", Trang chia sẻ.  "
"
                                        ","
                                        ","
                                        "
